Fecha, Tiempo_Procesamiento
2024-01-22 04:18:42, 0:00:04.246725 
2024-01-22 16:36:54, 0:00:06.076701 
2024-01-22 23:00:40, 0:00:06.939626 
2024-01-22 23:01:53, 0:00:08.901416 
2024-01-23 18:56:52, 0:00:08.529301 
2024-01-23 18:58:53, 0:00:06.855614 
2024-01-23 18:59:28, 0:00:11.784686 
2024-01-23 19:00:57, 0:00:07.713746 
2024-01-23 19:02:40, 0:00:06.678397 
2024-01-23 19:03:31, 0:00:06.583295 
2024-01-23 19:04:05, 0:00:07.826164 
2024-01-23 19:05:08, 0:00:06.801977 
2024-01-23 19:05:57, 0:00:07.196909 
2024-01-23 19:06:41, 0:00:03.519102 
2024-01-23 21:06:24, 0:00:10.062171 
2024-01-23 21:07:36, 0:00:04.481051 
2024-01-24 22:36:28, 0:00:03.495458 
