Fecha, Tiempo_Procesamiento
2024-01-22 04:18:42, 0:00:04.246725 
2024-01-22 16:36:54, 0:00:06.076701 
2024-01-22 23:00:40, 0:00:06.939626 
2024-01-22 23:01:53, 0:00:08.901416 
2024-01-23 18:56:52, 0:00:08.529301 
2024-01-23 18:58:53, 0:00:06.855614 
2024-01-23 18:59:28, 0:00:11.784686 
2024-01-23 19:00:57, 0:00:07.713746 
2024-01-23 19:02:40, 0:00:06.678397 
2024-01-23 19:03:31, 0:00:06.583295 
2024-01-23 19:04:05, 0:00:07.826164 
2024-01-23 19:05:08, 0:00:06.801977 
2024-01-23 19:05:57, 0:00:07.196909 
2024-01-23 19:06:41, 0:00:03.519102 
2024-01-23 21:06:24, 0:00:10.062171 
2024-01-23 21:07:36, 0:00:04.481051 
2024-01-24 22:36:28, 0:00:03.495458 
2024-01-25 00:32:09, 0:00:05.850282 
2024-01-25 20:11:56, 0:00:04.705004 
2024-01-25 21:02:19, 0:00:06.600877 
2024-01-25 21:28:00, 0:00:03.580825 
2024-01-25 21:38:02, 0:00:05.455822 
2024-01-25 22:09:19, 0:00:02.568556 
2024-01-25 22:29:54, 0:00:03.468389 
2024-01-25 23:06:48, 0:00:04.235598 
2024-01-25 23:10:45, 0:00:03.129858 
2024-01-25 23:16:30, 0:00:03.602462 
2024-01-25 23:17:56, 0:00:02.967114 
2024-01-25 23:41:14, 0:00:02.767765 
2024-01-26 00:22:50, 0:00:03.376904 
2024-01-26 21:03:21, 0:00:03.836759 
2024-01-26 21:03:51, 0:00:03.321061 
2024-01-26 22:13:50, 0:00:04.173567 
2024-01-26 22:18:40, 0:00:04.061709 
2024-01-26 22:21:32, 0:00:07.858984 
2024-01-26 22:23:15, 0:00:03.736988 
2024-01-26 23:49:35, 0:00:03.491213 
2024-01-26 23:51:12, 0:00:03.434531 
2024-01-26 23:51:30, 0:00:03.533007 
2024-01-26 23:52:59, 0:00:03.687797 
2024-01-29 17:24:27, 0:00:06.360566 
2024-01-29 17:25:52, 0:00:03.336903 
2024-01-29 17:26:27, 0:00:04.049226 
2024-01-29 17:27:05, 0:00:03.780475 
2024-01-29 20:34:17, 0:00:03.665780 
2024-01-29 23:53:56, 0:00:04.223745 
2024-01-29 23:54:49, 0:00:03.745465 
2024-01-30 00:02:08, 0:00:05.358797 
2024-01-30 00:30:12, 0:00:06.372626 
2024-01-30 02:12:18, 0:00:04.649164 
2024-01-30 02:12:54, 0:00:04.282198 
2024-01-30 03:48:18, 0:00:09.304660 
2024-01-30 16:21:38, 0:00:11.356503 
2024-01-30 17:59:28, 0:00:04.668684 
2024-01-30 22:03:37, 0:00:04.793234 
2024-01-30 22:07:16, 0:00:05.435546 
